AFFAIRE;POINT;PRESTATION;PRS_OPTION;FOURNISSEUR;STATUT;ETAT_EXTERNE;ETAT_INTERNE;DATE_DEMANDE;DATE_EFFET;MOD_RDV;MEDIA;REGION;TERRITOIRE;SGEL;GINKO;STR_TAR_ST_FORTARACH
A04RLPI4;23125036161480;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Sud Ouest;M100 - Grand Toulouse (231);O;O;BTINFMU4
A04RLQ6Y;16246309666094;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Sud Ouest;M100 - Perigord (162);O;O;BTINFCU4
A04RLPU2;07373082461330;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris r.g. (073);O;O;BTINFCU4
A04RLRHK;14269175067987;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ouest;M100 - Nantes Atlantique (142);O;O;BTINFCU4
A04RLSDV;06425470296706;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Est;M100 - Franche-Comte Nord (064);O;O;BTINFMU4
A04RLU4N;19696816132163;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Rhône Alpes Bourgogne;M100 - Savoie (196);O;O;BTINFMU4
A04RLVXV;07462083850239;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris tour Eiffel (074);O;O;BTINFMU4
A04RLWKN;14413024576748;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ouest;M100 - Ille-et-Vilaine (144);O;O;BTINFCU4
A04RLWRY;01543560005255;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Cote d'Opale (015);O;O;BTINFCU4
A04RLXSH;21332127334712;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Bagneux (213);O;O;BTINFMU4
A04RLYC5;01547322675160;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Cote d'Opale (015);O;O;BTINFMU4
A04RLZH7;07250506441827;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris Nord (075);O;O;BTINFMU4
A04RM120;01247322690245;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Hainaut-Cambresis (012);O;O;BTINFMU4
A04RM5SC;14555282174361;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ouest;M100 - Cotes d'Armor (145);O;O;BTINFMU4
A04RM4BN;15456005754901;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;17/02/2020;;EAI;M8 - Ouest;M100 - Vienne et Sevres (154);O;O;BTINFMU4
A04RM5AA;17177568714802;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Auvergne Centre Limousin;M100 - Clermont-Ferrand (171);O;O;BTINFCU4
A04RM6LM;24150795916004;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Méditerranée;M100 - Vallees d'Aude (241);O;O;BTINFCU4
A04RM754;14583067991909;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ouest;M100 - Cotes d'Armor (145);O;O;BTINFMU4
A04RM8AJ;04238639627570;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Est;M100 - Ardennes (042);O;O;BTINFCU4
A04RM8J6;02490014456422;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Calvados (024);O;O;BTINFCU4
A04RM94Z;01188277825718;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Lille metropole (011);O;O;BTINFMU4
A04RMAJ9;06370622235302;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Est;M100 - Alsace (063);O;O;BTINFMU4
A04RMANI;17117221359984;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Auvergne Centre Limousin;M100 - Clermont-Ferrand (171);O;O;BTINFMU4
A04RMC1H;16214471741092;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Sud Ouest;M100 - Perigord (162);O;O;BTINFMU4
A04RMAUU;07486396461568;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris tour Eiffel (074);O;O;BTINFMU4
A04RMDXM;21131114277943;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Versailles (211);O;O;BTINFMU4
A04RMCRH;01407814731449;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Arras (014);O;O;BTINFMU4
A04RMF7A;21470622192289;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Nanterre (214);O;O;BTINFCU4
A04RMQQE;22589869751770;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Pantin (225);O;O;BTINFMU4
A04RMR59;14838060767066;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ouest;M100 - Morbihan (148);O;O;BTINFMU4
A04RMQTU;07278871140689;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris Nord (075);O;O;BTINFMU4
A04RMR64;14212300972489;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ouest;M100 - Nantes Atlantique (142);O;O;BTINFMU4
A04RMSDD;01328943509641;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Douai (013);O;O;BTINFMU4
A04RMVGC;07396960888563;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris r.g. (073);O;O;BTINFCU4
A04RMVW8;22162083893852;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Seine et Marne (221);O;O;BTINFMU4
A04RMVIZ;01203328493563;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Hainaut-Cambresis (012);O;O;BTINFMU4
A04RMY88;14298986934704;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ouest;M100 - Nantes Atlantique (142);O;O;BTINFCU4
A04RN27R;09701591869206;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Auvergne Centre Limousin;M100 - Touraine (097);O;O;BTINFMU4
A04RN2P6;01602170755950;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Pays de Somme (016);O;O;BTINFMU4
A04RN2BV;06598408096570;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Est;M100 - Franche-Comte Sud (065);O;O;BTINFMU4
A04RN21L;21345151936705;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Bagneux (213);O;O;BTINFMU4
A04RN3V5;07477858169862;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris tour Eiffel (074);O;O;BTINFMU4
A04RN4D9;19199999774659;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Rhône Alpes Bourgogne;M100 - Lyon metropole (191);O;O;BTINFMU4
A04RN3QC;21375542626284;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Bagneux (213);O;O;BTINFMU4
A04RN77K;19324457188964;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Rhône Alpes Bourgogne;M100 - Alpes Dauphine (193);O;O;BTINFCU4
A04RN982;07386251755191;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris r.g. (073);O;O;BTINFMU4
A04RN8WA;02268596165925;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Normandie Eure (022);O;O;BTINFMU4
A04RN9DA;21492474582329;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Nanterre (214);O;O;BTINFMU4
A04RNA1Y;21267148968299;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Oise (016);O;O;BTINFMU4
A04RNAKY;19512445663881;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Rhône Alpes Bourgogne;M100 - Annecy Leman (195);O;O;BTINFMU4
A04RNBEI;21447612086705;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Nanterre (214);O;O;BTINFMU4
A04RNBDH;02203473186230;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Normandie Eure (022);O;O;BTINFCU4
A04RNCQ8;02121997038745;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Normandie Rouen (021);O;O;BTINFMU4
A04RND43;07277423997940;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris Nord (075);O;O;BTINFCU4
A04RNDYJ;07120549880382;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris pyramide (071);O;O;BTINFCU4
A04RNFPK;14878147531160;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ouest;M100 - Morbihan (148);O;O;BTINFMU4
A04RNG1I;07510853736688;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris Nord (075);O;O;BTINFMU4
A04RNG29;16138928889576;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Sud Ouest;M100 - Gironde (161);O;O;BTINFCU4
A04RNIYC;01150795927681;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;13/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Lille metropole (011);O;O;BTINFMU4
A04RNJGG;21426627965671;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;13/02/2020;;EAI;M8 - Ile de France;M100 - Nanterre (214);O;O;BTINFCU4
A04RNM5S;19943125900704;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;13/02/2020;;EAI;M8 - Rhône Alpes Bourgogne;M100 - Pays de l'Ain-Beaujolais (199);O;O;BTINFMU4
A04RNMW7;25220260344124;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;13/02/2020;;EAI;M8 - Méditerranée;M100 - Provence (252);O;O;BTINFMU4
A04RNNP1;23180897101912;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;13/02/2020;;EAI;M8 - Sud Ouest;M100 - Grand Toulouse (231);O;O;BTINFMU4
A04RNP88;24395513647422;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;15/02/2020;;EAI;M8 - Méditerranée;M100 - Montpellier Herault (243);O;O;BTINFMU4
A04RNRVI;16124312504016;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;13/02/2020;;EAI;M8 - Sud Ouest;M100 - Gironde (161);O;O;BTINFMU4
A04RNUIN;07405788669623;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;13/02/2020;;EAI;M8 - Ile de France;M100 - Paris tour Eiffel (074);O;O;BTINFMU4
A04RNVW4;25137192399013;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;13/02/2020;;EAI;M8 - Méditerranée;M100 - Marseille (251);O;O;BTINFMU4
A04RNYYR;19165267576808;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;11/02/2020;;EAI;M8 - Rhône Alpes Bourgogne;M100 - Lyon metropole (191);O;O;BTINFMU4
A04RL4MS;19151374809830;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Rhône Alpes Bourgogne;M100 - Lyon metropole (191);O;O;BTINFCU4
A04RL4C9;04352966639043;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Est;M100 - Reims-Champagne (043);O;O;BTINFCU4
A04RL4XL;14235889973878;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ouest;M100 - Nantes Atlantique (142);O;O;BTINFMU4
A04RLG3A;21451085273881;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;13/02/2020;;EAI;M8 - Ile de France;M100 - Nanterre (214);O;O;BTINFMU4
A04RLI2M;07326338576426;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris r.g. (073);O;O;BTINFMU4
A04RLKFG;14662373316559;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ouest;M100 - Iroise (146);O;O;BTINFMU4
A04RLKI3;04239507948584;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Est;M100 - Ardennes (042);O;O;BTINFCU4
A04RLNDX;07484370435250;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris tour Eiffel (074);O;O;BTINFMU4
A04RLRNL;25855282170005;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Méditerranée;M100 - Avignon Grand Delta (258);O;O;BTINFCU4
A04RLS5R;14406512284523;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ouest;M100 - Ille-et-Vilaine (144);O;O;BTINFCU4
A04RLRT6;02167438490109;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Normandie Rouen (021);O;O;BTINFCU4
A04RLRVC;07256295224155;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris Nord (075);O;O;BTINFMU4
A04RLSCL;07441533949518;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;13/02/2020;;EAI;M8 - Ile de France;M100 - Paris tour Eiffel (074);O;O;BTINFMU4
A04RLRMQ;05629088218309;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Est;M100 - Lorraine trois frontieres (056);O;O;BTINFMU4
A04RLTFE;19476121559505;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Rhône Alpes Bourgogne;M100 - Vienne Pays de Rhone (194);O;O;BTINFMU4
A04RLUNI;23129667118645;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Sud Ouest;M100 - Grand Toulouse (231);O;O;BTINFMU4
A04RLVLW;17535889976469;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Auvergne Centre Limousin;M100 - Correze-Cantal (175);O;O;BTINFCU4
A04RLWKQ;07401447105794;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris tour Eiffel (074);O;O;BTINFMU4
A04RLX0Z;14214037586030;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ouest;M100 - Nantes Atlantique (142);O;O;BTINFMU4
A04RLW85;15495079587529;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ouest;M100 - Vienne et Sevres (154);O;O;BTINFMU4
A04RLXLA;01300289427347;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Douai (013);O;O;BTINFCU4
A04RLXQW;14540810394428;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ouest;M100 - Cotes d'Armor (145);O;O;BTINFMU4
A04RLZNA;05128943490389;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Est;M100 - Nancy Lorraine (051);O;O;BTINFMU4
A04RM0UI;17183646877184;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Auvergne Centre Limousin;M100 - Clermont-Ferrand (171);O;O;BTINFMU4
A04RM11E;21377423938788;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Bagneux (213);O;O;BTINFMU4
A04RM155;07582633845209;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris Nord (075);O;O;BTINFMU4
A04RM2Q5;21513458669330;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Asnieres (215);O;O;BTINFMU4
A04RM3KS;17133719193932;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Auvergne Centre Limousin;M100 - Clermont-Ferrand (171);O;O;BTINFCU4
A04RM4NE;24140665658971;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Méditerranée;M100 - Vallees d'Aude (241);O;O;BTINFCU4
A04RM4BZ;07442112873191;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Paris tour Eiffel (074);O;O;BTINFCU4
A04RM676;22562662759560;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Pantin (225);O;O;BTINFCU4
A04RM6NU;16239942099368;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Sud Ouest;M100 - Perigord (162);O;O;BTINFMU4
A04RM8PF;14543270597067;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ouest;M100 - Cotes d'Armor (145);O;O;BTINFCU4
A04RM8GX;22413169178603;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Saint-Mande (224);O;O;BTINFCU4
A04RM9SN;02565846557819;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Manche (025);O;O;BTINFCU4
A04RMBCI;23124167786320;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Sud Ouest;M100 - Grand Toulouse (231);O;O;BTINFCU4
A04RMBWH;05152098351804;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Est;M100 - Nancy Lorraine (051);O;O;BTINFMU4
A04RMCU5;21219247344807;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Cergy (212);O;O;BTINFMU4
A04RMCV9;01131693107100;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Manche Mer du Nord;M100 - Lille metropole (011);O;O;BTINFMU4
A04RMDRU;22485962232178;F180;;EDF Commerce;AFF-ENCOURS;Intervention re-planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ile de France;M100 - Saint-Mande (224);O;O;BTINFMU4
A04RME0P;14893198224950;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Ouest;M100 - Morbihan (148);O;O;BTINFCU4
A04RMGBA;23392040496369;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;02/03/2020;;EAI;M8 - Sud Ouest;M100 - Pyrenees Gascogne (233);O;O;BTINFCU4
A04RML4S;12582923273508;F180;;EDF Commerce;AFF-ENCOURS;Intervention planifiée;Intervention planifiée;10/02/2020;12/02/2020;;EAI;M8 - Rhône Alpes Bourgogne;M100 - Nievre (125);O;O;BTINFMU4
